Date,Beach,E.coli ppm/100mL,Status
6/16/2021,Mooney's,19,Swim
6/17/2021,Mooney's,19,Swim
6/18/2021,Mooney's,13,Swim
6/19/2021,Mooney's,37,Swim
6/20/2021,Mooney's,22,Swim
6/21/2021,Mooney's,32,Swim
6/22/2021,Mooney's,13,Swim
6/23/2021,Mooney's,16,Swim
6/24/2021,Mooney's,34,Swim
6/25/2021,Mooney's,55,Swim
6/26/2021,Mooney's,28,Swim
6/27/2021,Mooney's,38,Swim
6/28/2021,Mooney's,30,Swim
6/29/2021,Mooney's,14,Swim
6/30/2021,Mooney's,36,Swim
7/1/2021,Mooney's,57,Swim
7/2/2021,Mooney's,65,Swim
7/3/2021,Mooney's,39,Swim
7/4/2021,Mooney's,812,No swim
7/5/2021,Mooney's,43,Swim
7/6/2021,Mooney's,41,Swim
7/7/2021,Mooney's,28,Swim
7/8/2021,Mooney's,71,Swim
7/9/2021,Mooney's,40,Swim
7/10/2021,Mooney's,54,Swim
7/11/2021,Mooney's,125,Swim
7/12/2021,Mooney's,22,Swim
7/13/2021,Mooney's,58,Swim
7/14/2021,Mooney's,20,Swim
7/15/2021,Mooney's,32,Swim
7/16/2021,Mooney's,108,No swim-rain
7/17/2021,Mooney's,62,Swim
7/18/2021,Mooney's,145,No swim-rain
7/19/2021,Mooney's,23,Swim
7/20/2021,Mooney's,28,Swim
7/21/2021,Mooney's,15,Swim
7/22/2021,Mooney's,10,Swim
7/23/2021,Mooney's,27,Swim
7/24/2021,Mooney's,58,Swim
7/25/2021,Mooney's,32,Swim
7/26/2021,Mooney's,253,No swim
7/27/2021,Mooney's,110,No swim-rain
7/28/2021,Mooney's,42,Swim
7/29/2021,Mooney's,52,Swim
7/30/2021,Mooney's,35,Swim
7/31/2021,Mooney's,41,Swim
8/1/2021,Mooney's,18,Swim
8/2/2021,Mooney's,54,Swim
8/3/2021,Mooney's,1000,No swim
8/4/2021,Mooney's,19,Swim
8/5/2021,Mooney's,22,Swim
8/6/2021,Mooney's,42,Swim
8/7/2021,Mooney's,30,Swim
8/8/2021,Mooney's,115,No swim-rain
8/9/2021,Mooney's,39,Swim
8/10/2021,Mooney's,79,Swim
8/11/2021,Mooney's,41,Swim
8/12/2021,Mooney's,49,Swim
8/13/2021,Mooney's,480,No swim
8/14/2021,Mooney's,22,Swim
8/15/2021,Mooney's,60,Swim
8/16/2021,Mooney's,68,Swim
8/17/2021,Mooney's,65,Swim
8/18/2021,Mooney's,29,Swim
8/19/2021,Mooney's,50,Swim
8/20/2021,Mooney's,51,Swim
8/21/2021,Mooney's,311,No swim
8/22/2021,Mooney's,44,Swim
8/23/2021,Mooney's,829,No swim
8/24/2021,Mooney's,47,Swim
8/25/2021,Mooney's,68,Swim
8/26/2021,Mooney's,40,Swim
